"","player","url","mv","citizenship","position","foot","current_club","youth_club","youth_club_country"
"140","Douglas Luiz","https://www.transfermarkt.com/douglas-luiz/profil/spieler/447661","€45.00m","Brazil","Midfield - Central Midfield","right","Juventus FC","Vasco U17","Brazil"
"141","Curtis Jones","https://www.transfermarkt.com/curtis-jones/profil/spieler/433188","€45.00m","England","Midfield - Central Midfield","right","Liverpool FC","Liverpool Youth","England"
"142","Jurrien Timber","https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243","€45.00m","Netherlands","Defender - Right-Back","right","Arsenal FC","Feyenoord Youth","Netherlands"
"143","Pau Torres","https://www.transfermarkt.com/pau-torres/profil/spieler/399776","€45.00m","Spain","Defender - Centre-Back","left","Aston Villa","Villarreal Yth.","Spain"
"144","Marc Guéhi","https://www.transfermarkt.com/marc-guehi/profil/spieler/392757","€45.00m","England","Defender - Centre-Back","right","Crystal Palace","Chelsea Youth","England"
"145","Alessandro Buongiorno","https://www.transfermarkt.com/alessandro-buongiorno/profil/spieler/386446","€45.00m","Italy","Defender - Centre-Back","left","SSC Napoli","Torino FC Youth","Italy"
"146","Gabriel Jesus","https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205","€45.00m","Brazil","Attack - Centre-Forward","right","Arsenal FC","Palmeiras U17","Brazil"
"147","Sven Botman","https://www.transfermarkt.com/sven-botman/profil/spieler/361093","€45.00m","Netherlands","Defender - Centre-Back","left","Newcastle United","Pancratius Yth.","Netherlands"
"148","Mikel Merino","https://www.transfermarkt.com/mikel-merino/profil/spieler/338424","€45.00m","Spain","Midfield - Central Midfield","left","Arsenal FC","CA Osasuna Yout","Spain"
"149","Matthijs de Ligt","https://www.transfermarkt.com/matthijs-de-ligt/profil/spieler/326031","€45.00m","Netherlands","Defender - Centre-Back","right","Manchester United","Abcoude Yth.","Netherlands"
"150","Jarrod Bowen","https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875","€45.00m","England","Attack - Right Winger","left","West Ham United","Hereford U19","England"
"151","Dominic Solanke","https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889","€45.00m","England","Attack - Centre-Forward","right","Tottenham Hotspur","Chelsea Youth","England"
"152","Jack Grealish","https://www.transfermarkt.com/jack-grealish/profil/spieler/203460","€45.00m","England","Attack - Left Winger","right","Manchester City","A. Villa Yth.","England"
"153","Leroy Sané","https://www.transfermarkt.com/leroy-sane/profil/spieler/192565","€45.00m","Germany","Attack - Right Winger","left","Bayern Munich","Wattensch. Yth.","Germany"
"154","Jarrad Branthwaite","https://www.transfermarkt.com/jarrad-branthwaite/profil/spieler/661053","€42.00m","England","Defender - Centre-Back","left","Everton FC","Carlisle U18","England"
"155","Enzo Millot","https://www.transfermarkt.com/enzo-millot/profil/spieler/569366","€42.00m","France","Midfield - Attacking Midfield","left","VfB Stuttgart","Monaco Youth","France"
